text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
житель	житель	беженец	True	(бежен)	a citizen	citizen	20
лднр	лднр	беженец	True	(бежен)	LDNR	ldnr	22
миллион	миллион	беженец	True	(бежен)	million	million	31
прибыть	прибыть	беженец	True	(бежен)	Arrive	arrive	48
лнр	лнр	беженец	True	(бежен)	LPR	lpr	110
днр	днр	беженец	True	(бежен)	DPR	dpr	316
украинский	украинский	беженец	True	(бежен)	Ukrainian	ukrainian	3
безработный	безработный	беженец	True	(бежен)	unemployed	unemployed	3
британия	британия	беженец	True	(бежен)	Britannia	britannia	4
убить	убить	беженец	True	(бежен)	Kill	kill	4
украинскую	украинскую	беженка	True	(бежен)	Ukrainian	ukrainian	4
украинского	украинского	беженец	True	(бежен)	Ukrainian	ukrainian	4
афганистан	афганистан	беженец	True	(бежен)	Afghanistan	afghanistan	2
африканский	африканский	беженец	True	(бежен)	African	african	2
covid	covid	беженец	True	(бежен)	Covid	covid	2
спасшиеся	спасшиеся	беженец	True	(бежен)	Saved	saved	2
юго	юго	беженец	True	(бежен)	South	south	2
tverlife	tverlife	беженец	True	(бежен)	Tverlife	tverlife	2
украинец	украинец	беженец	True	(бежен)	Ukrainian	ukrainian	2
страна	страна	беженец	True	(бежен)	country	country	2
сми	сми	беженец	True	(бежен)	mass media	mass media	2
собственный	собственный	беженец	True	(бежен)	own	own	2
бедный	бедный	беженец	True	(бежен)	poor	poor	2
шесть	шесть	беженец	True	(бежен)	six	six	2
ветеран	ветеран	беженец	True	(бежен)	veteran	veteran	2
украина	украина	беженкам	True	(бежен)	Ukraine	ukraine	2
украинскими	украинскими	беженками	True	(бежен)	Ukrainian	ukrainian	2
казахстан	казахстан	беженец	True	(бежен)	Kazakhstan	kazakhstan	3
киев	киев	беженец	True	(бежен)	Kyiv	kyiv	3
разместить	разместить	беженец	True	(бежен)	Place	place	3
рубежного	рубежного	беженец	True	(бежен)	Rubezhnaya	rubezhnaya	3
русский	русский	беженец	True	(бежен)	Russian	russian	3
обратиться	обратиться	беженец	True	(бежен)	Turn	turn	3
ребёнок	ребёнок	беженец	True	(бежен)	child	child	3
изюм	изюм	беженец	True	(бежен)	raisin	raisin	3
граница	граница	беженец	True	(бежен)	the border	border	3
рф	рф	беженец	True	(бежен)	RF	rf	4
пострадать	пострадать	беженец	True	(бежен)	get injured	get injured	4
болгария	болгария	беженка	True	(бежен)	Bulgaria	bulgaria	2
норвегия	норвегия	беженец	True	(бежен)	Norway	norway	5
россия	россия	беженец	True	(бежен)	Russia	russia	5
порядка	порядка	беженец	True	(бежен)	order	order	5
переселенец	переселенец	беженец	True	(бежен)	Migrant	migrant	6
россиянин	россиянин	беженец	True	(бежен)	Russian	russian	2
саратов	саратов	беженец	True	(бежен)	Saratov	saratov	2
против	против	беженец	True	(бежен)	against	against	2
