text	text ru/en	head	OR Filter 2	Regex String (OR)	text eng	text eng shortened	count
нападение	нападение	угроза	True	(^угроз)	attack	attack	7
несмотря	несмотря	угроза	True	(^угроз)	despite	despite	7
расти	расти	угроза	True	(^угроз)	grow	grow	7
обход	обход	угроза	True	(^угроз)	Bypass	bypass	4
отключение	отключение	угроза	True	(^угроз)	Disconnect	disconnect	4
петербург	петербург	угроза	True	(^угроз)	Petersburg	petersburg	4
основный	основный	угроза	True	(^угроз)	basic	basic	4
глава	глава	угроза	True	(^угроз)	chapter	chapter	4
позиция	позиция	угроза	True	(^угроз)	position	position	4
потенциальный	потенциальный	угроза	True	(^угроз)	potential	potential	4
потеря	потеря	угроза	True	(^угроз)	the loss	loss	4
оружие	оружие	угроза	True	(^угроз)	weapon	weapon	4
освоение	освоение	угроза	True	(^угроз)	Mastering	mastering	5
россиянин	россиянин	угроза	True	(^угроз)	Russian	russian	5
непосредственный	непосредственный	угроза	True	(^угроз)	direct	direct	5
рынок	рынок	угроза	True	(^угроз)	market	market	5
поступать	поступать	угроза	True	(^угроз)	to act	act	5
глобальный	глобальный	угроза	True	(^угроз)	global	global	7
главный	главный	угроза	True	(^угроз)	main	main	64
лукашенко	лукашенко	угроза	True	(^угроз)	Lukashenko	lukashenko	4
москва	москва	угроза	True	(^угроз)	Moscow	moscow	4
зеленскому	зеленскому	угроза	True	(^угроз)	Zelensky	zelensky	4
запрет	запрет	угроза	True	(^угроз)	ban	ban	4
кибербезопасности	кибербезопасности	угроза	True	(^угроз)	cybersecurity	cybersecurity	4
дипломат	дипломат	угроза	True	(^угроз)	diplomat	diplomat	4
